,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
0,ancient_author,ortho_word_las,"['Sin[1]DN:Sin:30', 'Sin[1]DN:Sin:{d}30']",2,100,0.13,0.10125,0.028749999999999998,1.2839506172839505
1,ancient_author,ortho_word_las,"['ana[to]PRP:ana:a-na', 'ana[to]PRP:ana:ana']",2,100,0.14375,0.11,0.03374999999999999,1.3068181818181817
2,ancient_author,ortho_word_las,"['Sin[1]DN:Sin:30', 'Sin[1]DN:Sin:{d}30', 'ana[to]PRP:ana:a-na', 'ana[to]PRP:ana:ana']",4,100,0.2275,0.17375,0.05375000000000002,1.3093525179856116
3,ancient_author,ortho_word_las,"['libbu[interior]N:libbi:ŠA₃', 'libbu[interior]N:libbi:ŠA₃-bi']",2,100,0.1125,0.10125,0.011249999999999996,1.1111111111111112
4,ancient_author,ortho_word_las,"['Sin[1]DN:Sin:30', 'Sin[1]DN:Sin:{d}30', 'libbu[interior]N:libbi:ŠA₃', 'libbu[interior]N:libbi:ŠA₃-bi']",4,100,0.18625,0.14875,0.037500000000000006,1.2521008403361344
5,ancient_author,ortho_word_las,"['ana[to]PRP:ana:a-na', 'ana[to]PRP:ana:ana', 'libbu[interior]N:libbi:ŠA₃', 'libbu[interior]N:libbi:ŠA₃-bi']",4,100,0.195,0.16,0.035,1.21875
6,ancient_author,ortho_word_las,"['Sin[1]DN:Sin:30', 'Sin[1]DN:Sin:{d}30', 'ana[to]PRP:ana:a-na', 'ana[to]PRP:ana:ana', 'libbu[interior]N:libbi:ŠA₃', 'libbu[interior]N:libbi:ŠA₃-bi']",6,100,0.2575,0.2025,0.05499999999999999,1.2716049382716048
7,ancient_author,ortho_word_las,"['lā[not]MOD:lā:la', 'lā[not]MOD:lā:NU']",2,100,0.09875,0.1025,-0.0037499999999999895,0.9634146341463415
8,ancient_author,ortho_word_las,"['Sin[1]DN:Sin:30', 'Sin[1]DN:Sin:{d}30', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:NU']",4,100,0.17125,0.13625,0.035,1.2568807339449541
9,ancient_author,ortho_word_las,"['ana[to]PRP:ana:a-na', 'ana[to]PRP:ana:ana', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:NU']",4,100,0.1775,0.15375,0.023749999999999993,1.1544715447154472
10,ancient_author,ortho_word_las,"['Sin[1]DN:Sin:30', 'Sin[1]DN:Sin:{d}30', 'ana[to]PRP:ana:a-na', 'ana[to]PRP:ana:ana', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:NU']",6,100,0.2475,0.20875,0.03875000000000001,1.18562874251497
11,ancient_author,ortho_word_las,"['libbu[interior]N:libbi:ŠA₃', 'libbu[interior]N:libbi:ŠA₃-bi', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:NU']",4,100,0.14625,0.12875,0.017499999999999988,1.1359223300970873
12,ancient_author,ortho_word_las,"['Sin[1]DN:Sin:30', 'Sin[1]DN:Sin:{d}30', 'libbu[interior]N:libbi:ŠA₃', 'libbu[interior]N:libbi:ŠA₃-bi', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:NU']",6,100,0.23375,0.20125,0.0325,1.1614906832298137
13,ancient_author,ortho_word_las,"['ana[to]PRP:ana:a-na', 'ana[to]PRP:ana:ana', 'libbu[interior]N:libbi:ŠA₃', 'libbu[interior]N:libbi:ŠA₃-bi', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:NU']",6,100,0.2425,0.2075,0.035,1.1686746987951808
14,ancient_author,ortho_word_las,"['Sin[1]DN:Sin:30', 'Sin[1]DN:Sin:{d}30', 'ana[to]PRP:ana:a-na', 'ana[to]PRP:ana:ana', 'libbu[interior]N:libbi:ŠA₃', 'libbu[interior]N:libbi:ŠA₃-bi', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:NU']",8,100,0.25125,0.20625,0.044999999999999984,1.218181818181818
15,ancient_author,ortho_word_las,"['lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",2,100,0.12875,0.09625,0.0325,1.3376623376623378
