,class_type,feature_type,group,group_len,num_clusters,purity_class,purity_random,error_sub,error_div
0,senderloc,ortho_word,"['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN']",2,60,0.12941176470588237,0.1188235294117647,0.010588235294117662,1.0891089108910892
1,senderloc,ortho_word,"['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']",2,60,0.12823529411764706,0.1223529411764706,0.005882352941176464,1.048076923076923
2,senderloc,ortho_word,"['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN', 'bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia']",4,60,0.16823529411764707,0.14352941176470588,0.02470588235294119,1.1721311475409837
3,senderloc,ortho_word,"['lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']",2,60,0.13058823529411764,0.1188235294117647,0.011764705882352941,1.099009900990099
4,senderloc,ortho_word,"['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']",4,60,0.1635294117647059,0.1411764705882353,0.022352941176470603,1.1583333333333334
5,senderloc,ortho_word,"['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']",4,60,0.17647058823529413,0.15176470588235294,0.02470588235294119,1.1627906976744187
6,senderloc,ortho_word,"['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN', 'bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a']",6,60,0.21411764705882352,0.17176470588235293,0.04235294117647059,1.2465753424657535
7,senderloc,ortho_word,"['lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",2,60,0.13058823529411764,0.1188235294117647,0.011764705882352941,1.099009900990099
8,senderloc,ortho_word,"['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",4,60,0.1635294117647059,0.13411764705882354,0.02941176470588236,1.219298245614035
9,senderloc,ortho_word,"['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",4,60,0.1776470588235294,0.15058823529411763,0.027058823529411774,1.1796875
10,senderloc,ortho_word,"['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN', 'bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",6,60,0.21529411764705883,0.16470588235294117,0.050588235294117656,1.3071428571428572
11,senderloc,ortho_word,"['lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",4,60,0.18705882352941178,0.15294117647058825,0.03411764705882353,1.2230769230769232
12,senderloc,ortho_word,"['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",6,60,0.21411764705882352,0.17176470588235293,0.04235294117647059,1.2465753424657535
13,senderloc,ortho_word,"['bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",6,60,0.2211764705882353,0.17294117647058824,0.04823529411764707,1.2789115646258504
14,senderloc,ortho_word,"['bēlu[lord]N:bēlī:be-li₂', 'bēlu[lord]N:bēlī:EN', 'bēlu[lord]N:bēlīya:EN-ia', 'bēlu[lord]N:bēlīya:be-li₂-ia', 'lā[not]MOD:lā:la', 'lā[not]MOD:lā:la-a', 'lū[may]MOD:lū:lu', 'lū[may]MOD:lū:lu-u']",8,60,0.22705882352941176,0.16823529411764707,0.05882352941176469,1.3496503496503496
15,senderloc,ortho_word,"['šulmu[completeness]N:šulmu:DI-mu', 'šulmu[completeness]N:šulmu:šul-mu']",2,60,0.11529411764705882,0.11529411764705882,0.0,1.0
